"cityId","cityName_CN","cityName_EN","Lon","Lat","Regis_pop","Res_pop","GDP","Employ_pct","Patent","SM_degree","Mob_degree","Pub_degree"
451000,"百色","Baise",106.289,23.9858,360000,418000,22571110000,1.721,469,775251,424105,42
620800,"平凉","Pingliang",106.651,35.3065,520000,605000,13106960000,0.963,272,430485,162133,3
341800,"宣城","Xuancheng",118.855,30.6883,870000,989000,29072630000,0.992,1945,943514,229006,41
620700,"张掖","Zhangye",99.8389,38.9503,510000,517000,16876840000,1.652,828,492503,231127,40
621100,"定西","Dingxi",104.452,35.1206,470000,483000,7612110000,0.903,254,258818,221684,3
620600,"武威","Wuwei",103.056,38.1662,1040000,1072000,28698970000,0.684,873,390979,204687,15
430800,"张家界","Zhangjiajie",110.529,29.3919,530000,575000,25291810000,1.005,351,745764,234524,16
611000,"商洛","Shangluo",109.899,33.6487,570000,569000,13608800000,1.246,794,468679,175027,56
360600,"鹰潭","Yingtan",117.107,28.2257,240000,249000,21573200000,2.054,750,632806,245359,14
451200,"河池","Hechi",107.84,24.6441,340000,467000,11729350000,1.694,373,650258,367149,28
530900,"临沧","Lincang",99.6738,23.9402,320000,370000,9959470000,0.906,212,319085,93603,4
451400,"崇左","Chongzuo",107.275,22.5026,370000,382000,15967600000,1.492,380,137274,260741,9
445300,"云浮","Yunfu",111.796,22.8158,680000,3316000,23416340000,0.696,882,2059453,360122,23
511800,"雅安","Ya'an",102.663,29.9163,620000,635000,21446950000,0.995,568,732479,166090,170
640400,"固原","Guyuan",106.183,35.9508,460000,563000,10332380000,0.525,76,690201,112692,22
640500,"中卫","Zhongwei",105.465,37.0504,410000,422000,15571570000,0.939,166,196483,178013,8
621200,"陇南","Longnan",105.223,33.5966,6e+05,590000,10374190000,0.298,220,369191,151651,8
500100,"重庆","Chongqing",107.875,30.0591,24490000,29074000,1.572446e+12,0.998,34532,37304679,4438557,4387
210100,"沈阳","Shenyang",123.138,42.0957,5860000,6497000,492256970000,2.254,9825,16541985,1213223,4527
440500,"汕头","Shantou",116.581,23.3364,5520000,5820000,206385210000,0.552,9552,13395927,466330,330
420100,"武汉","Wuhan",114.344,30.6257,5180000,11216000,963060280000,3.692,25361,32738926,2517555,10244
220100,"长春","Changchun",125.769,44.3794,4360000,4792000,470700590000,2.728,8155,8882029,1314321,4534
130100,"石家庄","Shijiazhuang",114.441,38.1296,4150000,4728000,321482500000,2.471,7453,10360036,1342988,1429
210200,"大连","Dalian",122.214,39.599,3980000,4128000,385568750000,3.67,7738,12348238,672672,3492
360100,"南昌","Nanchang",116.025,28.6618,3020000,3370000,330058830000,2.745,8190,8968222,1141298,2327
440900,"茂名","Maoming",110.954,22.0153,2960000,2887000,129516100000,0.519,1848,3752065,399416,94
520100,"贵阳","Guiyang",106.707,26.843,2450000,3190000,240365270000,2.728,5634,6821325,1729730,1466
510700,"绵阳","Mianyang",104.702,31.8488,1750000,2147000,99289020000,3.453,4738,2606464,577058,1387
410200,"开封","Kaifeng",114.532,34.6071,1700000,1231000,63710070000,0.745,1095,1619122,463186,514
440800,"湛江","Zhanjiang",110.162,21.0953,1650000,3014000,114562020000,1.613,2977,4938419,495783,391
210400,"抚顺","Fushun",124.654,41.8334,1400000,1429000,73088290000,1.119,727,1285294,178089,197
441200,"肇庆","Zhaoqing",112.202,23.5406,1390000,1664000,110031440000,0.88,2321,5331950,623080,75
430900,"益阳","Yiyang",111.95,28.5733,1370000,1460000,62567990000,0.772,1513,931403,275837,62
230200,"齐齐哈尔","Qiqihar",124.541,47.696,1360000,1380000,62080600000,1.803,1407,1658332,294975,164
150100,"呼和浩特","Hohhot",111.495,40.5918,1320000,1945000,2.36575e+11,3.928,1876,3353594,512618,728
511600,"广安","Guang'an",106.663,30.4248,1270000,1166000,31685690000,0.707,587,753090,367955,7
211400,"葫芦岛","Huludao",120.195,40.6251,980000,719000,31728370000,1.423,627,972243,265583,34
231000,"牡丹江","Mudanjiang",129.886,44.5944,880000,885000,34790950000,2.184,465,1200407,189719,73
211000,"辽阳","Liaoyang",123.244,41.1807,870000,927000,41690040000,1.109,520,935717,126847,30
210600,"丹东","Dandong",124.399,40.5454,780000,849000,21437360000,1.761,739,1157158,169133,28
510600,"德阳","Deyang",104.43,31.1337,7e+05,860000,50008190000,2.387,3200,1756424,466052,82
140800,"运城","Yuncheng",111.065,35.1868,7e+05,1070000,22488340000,1.81,1031,1377598,382192,71
230400,"鹤岗","Hegang",130.799,47.6417,640000,658000,13163220000,0.707,142,666760,67745,1
140900,"忻州","Xinzhou",112.408,38.882,550000,576000,12006520000,1.872,338,728474,236440,23
230900,"七台河","Qitaihe",130.968,45.9103,490000,621000,16389730000,1.164,131,443143,70898,8
360200,"景德镇","Jingdezhen",117.27,29.3077,470000,520000,44070050000,2.327,1326,1386542,211203,95
150900,"乌兰察布","Ulanqab",112.444,41.686,320000,361000,1.879e+10,2.507,172,367312,161408,4
141100,"吕梁","Lvliang",111.263,37.6794,280000,363000,7044730000,3.259,431,683654,267959,8
231100,"黑河","Heihe",126.984,49.2623,190000,216000,3371710000,2.379,330,594535,104213,36
