"msaId","msa_Name","Lon","Lat","Res_pop","GDP","Bachelor_pct","Patent","FS_degree_scaled","Mob_degree","Pub_degree"
15980,"Cape Coral-Fort Myers, FL",-81.8919943,26.5590348,770577,32682667,20,140,227297332,2256412,111
16020,"Cape Girardeau, MO-IL",-89.7626388,37.3259361,96765,4731863,18,4,36008174,212354,23
16060,"Carbondale-Marion, IL",-89.1051489,37.6897419,135764,6193397,18,20,46385224,239152,331
16180,"Carson City, NV",-119.7473681,39.1530598,55916,3859340,16,16,19882156,255835,19
16220,"Casper, WY",-106.7682192,42.9776447,79858,6305893,16,11,24738242,163746,4
16300,"Cedar Rapids, IA",-91.6311439,42.0863293,273032,18720752,21,211,104053492,589564,85
16540,"Chambersburg-Waynesboro, PA",-77.7245208,39.9267722,155027,6606645,15,20,51697703,598970,70
16580,"Champaign-Urbana, IL",-88.3185039,40.1029885,226033,12276267,26,241,130485678,650130,11939
16620,"Charleston, WV",-81.6203407,38.3551769,257074,13185929,16,21,56026700,623602,135
16700,"Charleston-North Charleston, SC",-80.0075006,33.0180695,802122,45585291,24,197,393445607,1637858,2918
16740,"Charlotte-Concord-Gastonia, NC-SC",-80.7972848,35.1663423,2636883,178413790,23,859,1140854705,4895528,1396
16820,"Charlottesville, VA",-78.5932062,37.9490837,218615,14248200,32,127,122212871,739991,5880
16860,"Chattanooga, TN-GA",-85.3611582,35.0493612,565194,31239821,19,108,214365428,1401518,135
16940,"Cheyenne, WY",-104.660395,41.2928302,99500,5806740,19,28,38114010,260733,17
16980,"Chicago-Naperville-Elgin, IL-IN-WI",-87.8282967,41.8235214,9458539,709160008,26,5366,3045468558,10454977,59126
17020,"Chico, CA",-121.6019188,39.6659588,219186,11314675,18,32,82182894,528306,190
10180,"Abilene, TX",-99.7187428,32.4520222,172060,7730423,14,11,44809289,370843,2188
10420,"Akron, OH",-81.3501104,41.1466395,703479,37698744,22,513,322259675,2472643,2349
10500,"Albany, GA",-84.1119078,31.6444531,146726,6588233,13,8,64001223,273957,36
10540,"Albany-Lebanon, OR",-122.5372084,44.4888982,129749,5308033,13,45,36619135,581088,348
10580,"Albany-Schenectady-Troy, NY",-73.9423479,42.7879202,880381,65591092,26,1223,318514345,1369705,7190
10740,"Albuquerque, NM",-106.4583918,35.1234965,918018,44677239,22,391,330959969,1246392,10626
10780,"Alexandria, LA",-92.5468034,31.3253478,152037,6440708,13,1,47776828,296499,43
10900,"Allentown-Bethlehem-Easton, PA-NJ",-75.398158,40.7893392,844052,47244854,20,384,381769643,2298794,2387
11020,"Altoona, PA",-78.3095974,40.4986536,121829,6408951,15,10,30755402,354405,66
11100,"Amarillo, TX",-101.9086384,35.2478969,265053,14087635,16,16,83361141,463770,222
11180,"Ames, IA",-93.6980079,42.0361281,123351,6712503,25,116,52102826,353062,3914
11460,"Ann Arbor, MI",-83.8434233,42.2522168,367601,25616343,35,1054,237400372,1689920,26047
11500,"Anniston-Oxford, AL",-85.8279089,33.7705162,113605,4590003,13,4,38741711,406829,17
11540,"Appleton, WI",-88.3723255,44.2906032,237974,14932551,20,132,106168717,878461,144
11700,"Asheville, NC",-82.6816145,35.5956693,462680,21548381,26,94,141032336,1077899,457
49340,"Worcester, MA-CT",-71.9255354,42.2173112,947404,52159312,24,440,404016812,2814134,3549
49420,"Yakima, WA",-120.7401446,46.4565581,250873,11966915,10,14,52268288,425841,195
49620,"York-Hanover, PA",-76.7288887,39.9217514,449058,21925823,17,123,230658105,1619365,55
49660,"Youngstown-Warren-Boardman, OH-PA",-80.5617836,41.23646,536081,22276185,16,82,137370136,1014251,285
49700,"Yuba City, CA",-121.5118327,39.1609692,175639,8087753,11,13,51701519,675435,21
49740,"Yuma, AZ",-113.910905,32.7739424,213787,8556158,9,11,38327709,494092,24
24020,"Glens Falls, NY",-73.6367573,43.4404503,125148,6664036,19,13,39754696,560269,8
24140,"Goldsboro, NC",-78.0086695,35.3541896,123131,5131317,13,4,50516136,335609,2
24220,"Grand Forks, ND-MN",-96.8426809,47.835929,100815,5785820,20,19,37914082,205597,265
24260,"Grand Island, NE",-98.3742176,41.0839258,75553,4429894,14,5,17306494,184306,7
24300,"Grand Junction, CO",-108.4605707,39.019524,154210,7096665,19,19,54167189,260217,101
24340,"Grand Rapids-Kentwood, MI",-85.7781669,43.0375977,1077370,62774390,21,747,356089269,1696609,1051
24500,"Great Falls, MT",-111.3502622,47.3165751,81366,4123936,17,6,20875226,158818,30
24540,"Greeley, CO",-104.383666,40.555961,324492,19889946,17,121,154381848,1477048,228
24580,"Green Bay, WI",-87.9961303,44.4740244,322906,21476426,19,51,108890580,646478,98
24660,"Greensboro-High Point, NC",-79.7926333,36.0252039,771851,44468572,20,238,393133649,2434267,659
24780,"Greenville, NC",-77.3727387,35.5924897,180742,10008070,20,23,116492087,456557,380
24860,"Greenville-Anderson, SC",-82.4134227,34.6837085,920477,48965503,19,684,367873578,1923161,1740
25060,"Gulfport-Biloxi, MS",-88.9992972,30.4801526,417665,18914116,15,22,134884626,1074160,208
25180,"Hagerstown-Martinsburg, MD-WV",-77.9845935,39.5544327,288104,12028770,15,20,115192876,1069288,171
25220,"Hammond, LA",-90.4066303,30.6215313,134758,4262128,13,9,67767901,722211,24
25260,"Hanford-Corcoran, CA",-119.8155301,36.072478,152940,7163683,9,4,38917758,651512,22
25420,"Harrisburg-Carlisle, PA",-77.0504897,40.335915,577941,40956120,22,148,270894584,1996674,1092
25500,"Harrisonburg, VA",-78.8853213,38.5075848,134964,8029217,18,5,45886525,533685,762
25540,"Hartford-East Hartford-Middletown, CT",-72.5739191,41.7186503,1204877,105147321,27,675,514697706,3035781,4477
25620,"Hattiesburg, MS",-89.3006335,31.2737661,168849,6360656,18,6,65182012,375901,181
25860,"Hickory-Lenoir-Morganton, NC",-81.4570656,35.8146111,369711,16135942,13,122,95804406,970654,6
25940,"Hilton Head Island-Bluffton, SC",-80.8308775,32.3867916,222195,9202731,26,17,85442986,956371,26
26140,"Homosassa Springs, FL",-82.5248099,28.8436402,149657,4519101,14,18,35973213,585045,1
26300,"Hot Springs, AR",-93.1469323,34.5788523,99386,3500689,16,14,29953817,404579,3
26380,"Houma-Thibodaux, LA",-90.8436739,29.3341299,208075,9993959,11,42,63775831,463733,62
26420,"Houston-The Woodlands-Sugar Land, TX",-95.3536422,29.7495926,7066141,512222304,21,4695,2123863394,7380522,26442
